numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X0000462;nan;Trib.48D.18M.20S.-67D.01M.31S.;Sainte-Marguerite-Marie;La Matapédia;Faible contenance;48.313489;-67.045592;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000463;nan;MILLE TRUITES / Fortin, Ruisseau;Sainte-Florence;La Matapédia;Faible contenance;48.295569;-67.242742;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000464;nan;Fortin, Ruisseau;Sainte-Florence;La Matapédia;Faible contenance;48.296056;-67.23475;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000466;nan;CASGRAIN;Albertville;La Matapédia;Faible contenance;48.327044;-67.354769;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000467;nan;Trib.48D.19M.42S.-67D.35M.33S.;Saint-Zénon-du-Lac-Humqui;La Matapédia;Petit barrage;48.329439;-67.594319;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000468;nan;Pearson, Ruisseau;Amqui;La Matapédia;Faible contenance;48.46305;-67.416386;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000469;Grand-Réservoir, Barrage du;Aqueduc, Ruisseau de l';Lac-au-Saumon;La Matapédia;Faible contenance;48.408083;-67.348447;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000471;nan;Lemieux, Ruisseau;Saint-Vianney;La Matapédia;Faible contenance;48.584533;-67.438214;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000472;nan;TRIB.48D.37M.05S.-67D.25M.46S.;Saint-Vianney;La Matapédia;Petit barrage;48.613069;-67.438653;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000473;nan;Trib.48D.36M.25S.-67D.17M.58S.;Saint-Vianney;La Matapédia;Faible contenance;48.597239;-67.342756;https://www.cehq.gouv.qc.ca/barrages/default.asp
X0000474;nan;Charette, Cours d'eau;Sayabec;La Matapédia;Faible contenance;48.538089;-67.676208;https://www.cehq.gouv.qc.ca/barrages/default.asp
